Ordem,NIF ,Nome ,E-mail,URL 
239,504748165,"DUARTES, MEDIADORES DE SEGUROS, LDA",geral@duartesmseguros.pt,www.duartesmseguros.com
240,510655190,"SDS - MEDIAÇÃO DE SEGUROS, LDA",geral@sds-seguros.pt,www.sds-seguros.pt
241,513865497,"SANTAVILA - MEDIAÇÃO DE SEGUROS, LDA",paulocorreia@santavila.pt,
242,509166610,"ANDRÉ & DIANA - MEDIAÇÃO DE SEGUROS, LDA",,
243,507342968,"J. LOURENÇO - MEDIAÇÃO DE SEGUROS, LDA",geral@jlseguros.pt,www.jlseguros.pt
244,508618290,"VALOR INTEGRAL - MEDIAÇÃO DE SEGUROS, LDA",valorintegral@gmail.com,
245,516077139,"SAFETYLINK, UNIPESSOAL, LDA",safetylink@sapo.pt,
246,504928309,"CALÇADA & CERQUEIRA - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geral@calcadaecerqueira.pt,
247,516087533,"SPECIALTY RISKS - DISTRIBUIÇÃO DE SEGUROS, LDA",geral_sr@specialtyrisks.pt,www.specialtyrisks.pt
248,513554475,"ONOFRE & ONOFRE - MEDIAÇÃO DE SEGUROS, LDA",onofre.fidelidade@gmail.com,
249,506093190,"PENASEGUR - MEDIAÇÃO DE SEGUROS, LDA",,www.basgest.com
250,509834485,"BRING INSURANCE - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, S.A.",seguros@rosabarreto.pt,www.bisa.pt
251,501127437,"GOBUSINESS - MEDIAÇÃO DE SEGUROS, LDA",info@gobusinessfinance.ch,
252,508920191,"IFC BROKER, S.A.",geral@ifc.com.pt,www.ifc.com.pt
253,980648610,AMWINS GLOBAL RISKS B.V. - SUCURSAL EM PORTUGAL,,www.amwins.com
254,505137348,"POMPEU & POMPEU - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",geral@pompeuseguros.pt,
255,506224910,"JERÓNIMO - MEDIAÇÃO DE SEGUROS, LDA",geral@jeronimoseguros.com,www.jeronimoseguros.com
256,502702990,"CASTELA & VELUDO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",castela.veludo@cvseguros.com,www.castelaveludoseguros.com
257,510568726,"MARIA DA GRAÇA PEREIRA - MEDIAÇÃO DE SEGUROS, LDA",mgraca-pereira@sapo.pt,
258,509837093,"PAULO OLIVEIRA-MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@paulooliveira.pt,
259,516049437,"SAFE-CROP, LDA",seguros@safe-crop.com,www.safe-crop.com
260,515794953,"NOVUS TEMPUS - MEDIAÇÃO DE SEGUROS, S.A.",,
261,500738963,"JORGE VALENTE, LDA",jorgebarbosa@jorgevalente.pt,
262,515352136,"PAULO BENTO - MEDIAÇÃO SEGUROS, LDA",paulobento3@hotmail.com,
263,505553724,"GRANCA PORTUGAL - AGÊNCIA DE MEDIAÇÃO DE SEGUROS, S.A.",info@creditoycaucion.granca.org,
264,508542960,"DIVITOTAL - MEDIAÇÃO DE SEGUROS, LDA",napferreira@gmail.com,www.divitotal.pt
265,508777020,"MGT - MEDIAÇÃO DE SEGUROS, LDA",geral@mgtseguros.pt,www.mgtseguros.pt
266,502561688,"SEGUR B - MEDIAÇÃO DE SEGUROS, S.A.",segurb@a-bandeira.pt,www.segurb.pt
267,509639500,"POLICARPO & TRAVASSOS - MEDIAÇÃO DE SEGUROS, LDA",geral@ptseguros.pt,
268,505155729,"COELHO - MEDIAÇÃO DE SEGUROS, LDA",geral@coelhoseguros.pt,www.coelhoseguros.pt
269,514574275,"ALFAIATE & GARCIA, LDA",geral@alfaiategarcia.com,www.alfaiategarcia.com
270,509670580,"JOÃO PAULO MENDES & NOÉLIA MENDES - MEDIAÇÃO DE SEGUROS, LDA",noeliamendes@segurosdeportugal.com,www.segurosdeportugal.com
271,510527574,"CONTRATO SEGURO - MEDIAÇÃO DE SEGUROS, LDA",vera.batista@contratoseguro.pt,
272,503421847,"ROMADIS - APOIO À GESTÃO DE EMPRESAS, LDA",romadis@gmail.com,
273,503494461,"TRIÂNGULO - MEDIADORES DE SEGUROS, LDA",triangulo@agentegeral.ageas.pt,www.trianguloseguros.pt
274,509702953,"VITTA FINANCE, UNIPESSOAL LDA",info@vittafinance.com,www.vittafinance.com
275,506347788,"FRANASEGUROS - MEDIAÇÃO DE SEGUROS, LDA",francisco@franaseguros.com,
276,513860371,"PEDRO AGAPITO - MEDIAÇÃO DE SEGUROS, LDA",pedro.a.agapito@gmail.com,www.pedroagapitoseguros.com
277,513543597,"BMA'S BROKERS - MEDIAÇÃO DE SEGUROS, LDA",geral@bmas.pt,www.bmas.pt
278,508490995,"JOÃO PEREIRA - MEDIAÇÃO DE SEGUROS, LDA",carlapereira@joaopereiraseguros.com,www.tranquilidade.pt
279,506286614,"D.C.MOUTINHO & FILHOS - MEDIAÇÃO DE SEGUROS, LDA",geral@dcmoutinhoseguros.pt,www.dcmoutinhoseguros.pt
280,509367313,"MYINSURANCE - MEDIAÇÃO DE SEGUROS, LDA",,www.myinsurance.pt
281,508106486,"MBL SEGUROS - SOCIEDADE DE MEDIAÇÃO, LDA",mblseguros@mail.telepac.pt,www.mblseguros.pt
282,509777805,"E-SEO - MEDIAÇÃO DE SEGUROS, S.A.",,www.e-seo.pt
283,510987605,"TRANQUISAFE, LDA",,
284,509120466,"MC OFICYNA DE SEGUROS - MEDIAÇÃO DE SEGUROS , LDA",francisco@fidelidadetaipas.pt,
285,514149892,"RAFAEL FREITAS, LDA",rafael.lopes.seguros@gmail.com,
286,503954640,"PINTO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",rui.pinto@pintoseguros.com,www.pintoseguros.com
287,504455966,"IMPERBEIRAS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",imperbeiras@gmail.com,
288,515787612,"3M - MEDIAÇÃO DE SEGUROS, LDA",geral@segurosamartins.pt,
289,509523110,"SERPA SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",serpa-seguros@hotmail.com,
290,509087620,"RUI OSÓRIO - MEDIAÇÃO DE SEGUROS, LDA",geral@ruiosorioseguros.pt,www.ruiosorioseguros.pt
291,508363004,"MAGALHÃES CORREIA - MEDIAÇÃO DE SEGUROS, LDA",magalhaescorreia@sapo.pt,
292,504205900,"NORSEG - MEDIAÇÃO DE SEGUROS, LDA",ruifernando.rodrigues@agentegeral.ageas.pt,
293,508872480,"ÓSCAR SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",oscarseguros.riomeao@sapo.pt,www.realvidaseguros.pt
294,514869143,"R.L.A.PINTO - SEGUROS, UNIPESSOAL, LDA",,www.pintoseguros.com
295,509837476,"ATIVIDADE MEDIAÇÃO & COMPROMISSO - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",anacruzseguros@gmail.com,
296,515682535,"JANTARÃO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",info@jantarao-seguros.com,www.jantarao-seguros.com
297,508450799,"GOMES DA SILVA - MEDIAÇÃO DE SEGUROS, LDA",antoniosilva@gomesdasilva.pt,
298,508291526,"FONSECA & VEIGA - SOCIEDADE DE MEDIAÇÃO, LDA",fonsecaeveigalda@gmail.com,
299,515061077,"PEDRO BELMONTE, UNIPESSOAL, LDA",geral@belmonte-seguros.pt,www.belmonte-seguros.pt
300,509683878,"RUI ROSA SILVA - MEDIAÇÃO DE SEGUROS, LDA",rsseguros@sapo.pt,
301,509532527,"LIBER MED - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",rui.pinto@libermedseguros.com,
302,514550104,"PROTEÇÃO ILIMITADA, LDA",,www.protecao-ilimitada.pt
303,510822878,"EIRINHA - MEDIAÇÃO DE SEGUROS, LDA",,
304,513315209,"PAULO JORGE REDONDO - MEDIAÇÃO DE SEGUROS, LDA",,
305,509279015,"GIL GOMES PINTO - MEDIAÇÃO DE SEGUROS, LDA",g.pinto@gilpinto.pt,
306,506180263,"EUREKA - MEDIAÇÃO DE SEGUROS, LDA",eduardo.abreu@eurekaseguros.pt,
307,508085934,"JAIME TRINDADE - MEDIAÇÃO DE SEGUROS, LDA",geral@jtseguros.com,www.doutorvida.pt
308,510118712,"SANDRA SILVA BRAZUNA - SOCIEDADE MEDIADORA DE SEGUROS, LDA",,
309,506935841,"ABÍLIO SILVA - MEDIAÇÃO DE SEGUROS, LDA",abilio@abiliosilvaseguros.com,
310,508103606,"J MARQUES - MEDIAÇÃO DE SEGUROS, LDA",,
311,510389082,"ANR - MEDIAÇÃO DE SEGUROS, LDA",nuno.rosa@anrseguros.com,
312,510614833,"SEG3 - MEDIAÇÃO DE SEGUROS, LDA",geral@seg3.pt,
313,509845932,"FRANCO SEGUROS - SOCIEDADE MEDIAÇÃO, LDA",fernando.franco@francoseguros.pt,
314,510159800,"INAGIS, LDA",inagis@inagis.pt,www.inagis.pt
315,506341496,"FIGUEIREDO & JESUS - MEDIAÇÃO DE SEGUROS, LDA",jovita.jesus@agentegeral.ageas.pt,www.figueiredoejesus-seguros.pt
316,508658772,"CLAROTOTAL - MEDIAÇÃO DE SEGUROS, LDA",geral@clarototal.pt,www.clarototal.pt
317,507225112,"M.COSTA - MEDIAÇÃO DE SEGUROS, LDA",geral@mcostaseguros.pt,www.mcostaseguros.pt
318,513235736,"ROMÃO MEDIAÇÃO DE SEGUROS, LDA",romao@romaoseguros.pt,
319,510641989,"ALGAR SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",jorge.silva@algarseguros.pt,www.algarseguros.pt
320,509321828,"FEELSEGUROS - SOCIEDADE MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",filomenasilva@feelseguros.pt,www.feelseguros.pt
321,514292075,"DUARTE & FONTES - SOCIEDADE MEDIAÇÃO DE SEGUROS, LDA",geral@ss-solucoesseguras.pt,www.ss-solucoesseguras.pt
322,500956820,"GILBERTOS, UNIPESSOAL, LDA",paulo.machado@agentegeral.ageas.pt,
323,507054873,"MARIA EUNICE & LUÍS - MEDIADORES DE SEGUROS, LDA",gestao@meluis.pt,
324,513841610,"CAMARÃO - SEGUROS, SOCIEDADE DE MEDIAÇÃO, LDA",geral@camaraoseguros.pt,www.camaraoseguros.pt
325,513127224,"2DO INSURANCE, UNIPESSOAL, LDA",info@2doinsurance.pt,www.2doinsurance.pt
326,503561410,"SERVIPLUS - MEDIAÇÃO DE SEGUROS, LDA",geral@serviplus.pt,www.serviplus.pt
327,503155004,"GIRALDO - MEDIADORA ALENTEJANA DE SEGUROS, UNIPESSOAL, LDA",geral@giraldoseguros.com,www.giraldoseguros.com
328,514942517,"MEDAL TARGET - MEDIAÇÃO DE SEGUROS, LDA",info@medaltarget.pt,www.medal.pt
329,513860959,"LUIS FILIPE PINTO - MEDIAÇÃO DE SEGUROS, LDA",geral@lfp-seguros.com,www.lfp-seguros.com
330,502183357,"SEGURSINTRA - MEDIADORES DE SEGUROS, LDA",segursintra@segursintra.pt,www.segursintra.pt
331,505656710,"EIRÓSEGUROS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",eiroseguros@gmail.com,
332,508941393,"LUIS LEAL MEDIAÇÃO DE SEGUROS, LDA",luisleal.seguros@sapo.pt,
333,513548165,"SEGBEST - MEDIAÇÃO DE SEGUROS, LDA",david.amaro@segbest.pt,www.segbest.pt
334,517598663,"MALHEIRO MEDIAÇÃO SEGUROS, LDA",rui.malheiro.seguros@gmail.com,
335,508743141,"BEATRIZ BALÇA SEGUROS - SOCIEDADE DE MEDIAÇÃO, LDA",beatrizbalca@gmail.com,
336,510511600,"SÉRGIO BOAVISTA - MEDIAÇÃO DE SEGUROS, LDA",sergioboavista76@gmail.com,
337,509847455,"ANTÓNIO DOMINGOS - MEDIAÇÃO DE SEGUROS, LDA",antonio.domingoseguros@gmail.com,www.antoniodomingoseguros.com
338,508761352,"PAULO LOPES - MEDIAÇÃO DE SEGUROS, LDA",lojafidelidademoimenta@gmail.com,www.fidelidade.pt
339,509783716,"CCC - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",,www.desiseg.pt
340,510648878,"PEDRO QUINTA - MEDIAÇÃO DE SEGUROS, LDA",quintadossantos@gmail.com,
341,504780565,"BEJA & ASSOCIADOS - SOCIEDADE MEDIADORA DE SEGUROS, LDA",pedrobeja@bejaeassociados.pt,
342,509736831,"VALENTE & FERREIRA - MEDIAÇÃO DE SEGUROS, LDA",geral@vfseguros.pt,
343,513392076,"PROTESTE SEGUROS - MEDIAÇÃO DE SEGUROS, SOCIEDADE UNIPESSOAL, LDA",protecaodados@deco.proteste.pt,www.protesteseguros.pt
344,513338950,"SELECTSAFETY, LDA",geral@selectsafety.pt,www.selectsafety.pt
345,507946707,"JML, MEDIAÇÃO DE SEGUROS, LDA",geral@jmlseguros.com,www.jmlseguros.com
346,502450290,"LEI - SEGUROS, MEDIAÇÃO DE SEGUROS, LDA",geral@lei.com.pt,www.lei.com.pt
347,515336548,"FUTURO PROTEGIDO - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",,
348,500833990,"FILINTO MOTA - MEDIAÇÃO DE SEGUROS, LDA",a.caldas@filintomota.pt,
349,510162045,"PEDRO MIGUEL MACEDO - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",pedromacedoseguros@hotmail.com,
350,508497388,"CARPISEGUR - MEDIAÇÃO DE SEGUROS, LDA",ccastro5@sapo.pt,
351,510505546,"NELSON BARTOLOMEU - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",nelson.v.bartolomeu@gmail.com,
352,507309936,"VÍTOR ALBINO - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",vitor.albino@parceiros.tranquilidade.pt,
353,510219322,"NUNO CARMO - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",nunocarmo@nunocarmoseguros.pt,www.nunocarmoseguros.pt
354,509705545,"CRISTINA PAIXÃO, UNIPESSOAL, LDA",cristina.paixao@paixaocontabilidade.pt,
355,509503446,"GAPMS MEDIAÇÃO DE SEGUROS, LDA",,
356,507275837,"GUERREIROS II - MEDIAÇÃO SEGUROS, LDA",geral@guerreiros.pt,www.guerreiros.pt
357,514659254,"PREDICTABLE, LDA",joao.calhau@predictable.pt,
358,515782513,"JMJ - MEDIAÇÃO DE SEGUROS, LDA",,
359,509060676,"PLANÍCIE SEGUROS - SOCIEDADE DE MEDIAÇÃO, LDA",geral@planicie-seguros.pt,www.planicie-seguros.pt
360,506970558,"ALMEIDA - MEDIAÇÃO DE SEGUROS, LDA",geral@almeida-seguros.pt,
361,505684667,"ALFERES DA PONTE SEGUROS, MEDIAÇÃO E CONSULTORIA EM SEGUROS, UNIPESSOAL, LDA",doria@sapo.pt,
362,505024373,"CAMPOSMAR - MEDIAÇÃO SEGUROS, LDA",geral@camposmar.pt,
363,980585740,"NACORA CORREDURÍA DE SEGUROS, S.A. - SUCURSAL EM PORTUGAL",info.portugal@nacora.com,www.nacora.pt
364,509264700,"MEDIPREMIER - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",seguros@medipremier.pt,www.medipremier.pt
365,514954523,"DELTA SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",,
366,507260660,"PAULO ROLO - MEDIAÇÃO DE SEGUROS, LDA",paulo.rolo@pauloroloseguros.pt,
367,503665711,"M.M. - SOCIEDADE MEDIADORA DE SEGUROS, LDA",geral@mmseguros.com,www.mmseguros.pt
368,509290531,"SOTAVENTO SEGUROS - SOCIEDADE DE MEDIAÇÃO E GESTÃO DE SEGUROS, LDA",clientes@tranquilidade.pt,generalitranquilidade.pt
369,506478947,"PAJOFEDI - MEDIAÇÃO SEGUROS, LDA",pajofedi@gmail.com,www.pajofedi.pt
370,509644287,"ANTUNESEGUROS - MEDIAÇÃO DE SEGUROS, LDA",antuneseguros@gmail.com,
371,507398360,"DOMINIQUE RAMOS - MEDIAÇÃO DE SEGUROS, LDA",drseguros@sapo.pt,
372,508579678,"SOSSEGO - MEDIAÇÃO DE SEGUROS, LDA",sossegoseguros@sapo.pt,
373,514913835,"BALGRID, LDA",,www.balgrid.pt
374,507926110,"GOTE, SOCIEDADE MEDIAÇÃO SEGUROS, LDA",geral@goteseguros.com,www.goteseguros.com
375,514721375,"LIVE INSURANCE - MEDIAÇÃO DE SEGUROS, LDA",paulonogueira2099@sapo.pt,
376,504858017,"IMPERATLÂNTICO - SOCIEDADE MEDIAÇÃO SEGUROS, LDA",fatimarodrigues@sapo.pt,
377,510114695,"JOSÉ CARLOS GOMES - MEDIAÇÃO DE SEGUROS, LDA",seguros@contasouto.pt,
378,506088553,"SOCIALGAR - MEDIAÇÃO DE SEGUROS, LDA",geral@socialgar.com,
379,509017096,"PAULO PORTELA - MEDIAÇÃO DE SEGUROS, LDA",,
380,514038179,"LUÍS MIGUEL COSTA SANTOS - SOCIEDADE MEDIAÇÃO SEGUROS, UNIPESSOAL, LDA",,www.ls-seguros.pt
381,501405712,"NOVAGESTECLA - MEDIADOR DE SEGUROS, LDA",geral@novagestecla.pt,www.novagestecla.pt
382,508981107,"XXI MAIS SEGUROS, LDA",geral@21mais-seguros.com,
383,517505436,"ALEXANDRU SEGUROS, LDA",alexandru.seguros@gmail.com,
384,512005818,"GRUBEN - SOCIEDADE MEDIADORA DE SEGUROS, LDA",geral@gruben.pt,www.gruben.pt
385,509569269,"BESIDEYOU, LDA",fidelidadesandra@gmail.com,www.bto.pt
386,510224032,"CÉLIA COELHO - MEDIAÇÃO DE SEGUROS, LDA",celiacoe@gmail.com,
387,510781659,"JOSÉ MANUEL MEDIAÇÃO DE SEGUROS, LDA",,
388,515995169,"SANUSEG - MEDIAÇÃO DE SEGUROS, LDA",,
389,515108812,"FEELGREAT - MEDIAÇÃO, LDA",geral@afaria.pt,
390,508923905,"CARLOS ANDRADE & ASSOCIADOS, LDA",geral@carlosandrade.pt,www.carlosandrade.pt
391,515134600,"DILIGENTECÓDIGO MEDIAÇÃO DE SEGUROS, LDA",rui.durao@diligentecodigo.pt,
392,513023704,"CARISMA - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",,
393,505844974,"F2F - MEDIAÇÃO DE SEGUROS, LDA",geral@f2f.pt,www.f2f.pt
394,507546350,"MEDICOBRA - MEDIAÇÃO DE SEGUROS, LDA",jorge.cruz@medicobra.pt,www.medicobra.pt
395,506622347,"A. QUINTELA - MEDIAÇÃO SEGUROS, LDA",a.quintelaseguros@gmail.com,www.aquintelaseguros.pt
396,508950430,"AL MEDIAÇÃO DE SEGUROS, LDA",info@alseguros.pt,www.alseguros.pt
397,502873450,"MAXISEGUROS, LDA",geral@maxiseguros.pt,www.maxiseguros.pt
398,509745091,"3MAIS SEGUROS, SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",,
399,513582320,"PAULA MIGUÉIS - MEDIAÇÃO SEGUROS, LDA",,
400,507806875,"AROUSEGUROS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",arouseguros1@sapo.pt,
401,514270390,"NEW CALL - MEDIAÇÃO DE SEGUROS, LDA",jorge.mota@newcall-seguros.pt,
402,508497043,"AGÊNCIA DE SEGUROS FELICIANO, LDA",feliciano.seguros@gmail.com,
403,508683777,"NC SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",geral@gruponc.pt,
404,501586466,"NAUTICUS - SEGUROS, MEDIADORES ASSOCIADOS, LDA",comercial@nauticusseguros.pt,www.nauticusseguros.pt
405,505371030,"CGS - MEDIAÇÃO SEGUROS, LDA",,
406,514058684,"JAR SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",jose.alberto@jarseguros.pt,
407,500670730,"SERRADEIRO - MEDIAÇÃO DE SEGUROS, LDA",info@serradeiroseguros.pt,www.serradeiroseguros.pt
408,509670482,"MPL - MEDIAÇÃO DE SEGUROS, LDA",,
409,509053971,"RUI MONTEIRO - MEDIAÇÃO DE SEGUROS, LDA",ruimonteiroseguros@gmail.com,
410,509037119,"HWK CONSULTING, LDA",geral@hwkconsulting.com,www.hwkconsulting.com
411,509067700,"JOÃO PERES BRITO - MEDIAÇÃO DE SEGUROS, LDA",j.peres@joaoperesbritoseguros.com,www.joaoperesbritoseguros.com
412,507988213,"RICARDO ALVES - MEDIADOR DE SEGUROS, LDA",geral@raseguros.net,www.raseguros.net
413,504060465,"SM - MEDIAÇÃO PROFISSIONAL DE SEGUROS, LDA",geral@smseguros.pt,www.smseguros.pt
414,515242772,"MAAGARCIA - MEDIAÇÃO DE SEGUROS, LDA",mariogseguros@gmail.com,www.maagarcia.pt
415,514369833,"JAIME COUTINHO - MEDIAÇÃO SEGUROS, LDA",jaime.coutinho@jcoutinhoseguros.com,
416,516755706,"DILEMAS E DECISÕES - DISTRIBUIÇÃO DE SEGUROS, LDA",,
417,509883966,"JOAQUIM RESENDE - MEDIAÇÃO DE SEGUROS, LDA",,
418,505518589,"CARLOS MOTA - MEDIAÇÃO DE SEGUROS, LDA",,
419,508866219,"100 RISCOS - MEDIAÇÃO DE SEGUROS, LDA",geral@100riscos.pt,www.100riscos.pt
420,515047570,"MONTISEG - MEDIAÇÃO DE SEGUROS, LDA",isabel.silva@montiseg.pt,
421,510269176,"LXQB - MEDIAÇÃO DE SEGUROS, LDA",geral@lxqb.pt,www.lxqb.pt
422,514645814,"LMJC - MEDIAÇÃO DE SEGUROS, LDA",lurdes@lmjcseguros.pt,www.lmjcseguros.pt
423,507261852,"TREVOSEGURO - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",carlos.santos@trevoseguro.pt,
424,510182461,"ACCIPIENS - GESTÃO E MEDIAÇÃO, UNIPESSOAL, LDA",info@accipiens-seguros.pt,www.accipiens-seguros.pt
425,514265027,"ICW, LDA",,
426,509652387,"AGOSTINHO COSTA FREITAS ALMEIDA, LDA",agostinho@agostinhoseguros.pt,
427,513152890,"BRITO & CRUZ - MEDIAÇÃO DE SEGUROS, LDA",gerencia@britoecruz.pt,
428,508581834,"OMEGA SEGUROS, SOCIEDADE DE MEDIAÇÃO, LDA",geral@omegaseguros.pt,www.omegaseguros.pt
429,500203830,"A.I.- MEDIAÇÃO DE SEGUROS, LDA",,
430,504676504,"AGÊNCIA DE MEDIAÇÃO DE SEGUROS FERREIRA & FILHOS, LDA",seguros.ferreira@sapo.pt,
431,508874149,"ASA SEGUROS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@asa-seguros.pt,www.asa-seguros.pt
432,503913219,"JOSÉ DA CUNHA MACHADO & FILHOS - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",edgar@machadoseguros.pt,
433,510164340,"LIDERSEGUROS - MEDIAÇÃO DE SEGUROS, LDA",geral@liderseguros.pt,www.liderseguros.pt
434,505201275,"PRIMAZIA - MEDIAÇÃO DE SEGUROS, LDA",contabilidade3.fmm@netvisao.pt,
435,510917410,"GASPARSEGUR - MEDIAÇÃO DE SEGUROS, LDA",manuela.manupa@gmail.com,www.gasparsegur.pt
436,505723921,"JOSÉ GONÇALVES & FILHOS - MEDIAÇÃO DE SEGUROS, LDA",goncalvesseguros@sapo.pt,www.goncalvesseguros.pt
437,501614532,"TRUST4ALL - CONSULTORES DE SEGUROS, LDA",mario.mrsantos@netvisao.pt,
438,509953557,"MJL, LDA",mjl-seguros@mjl-seguros.pt,
439,514586737,"LUCIANO CORREIA - MEDIAÇÃO SEGUROS, LDA",correia.seguros.fafe@gmail.com,
440,514277238,"COMPEUGROUP - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",,
441,503993484,"MEDOEIRAS - SOCIEDADE MEDIADORA DE SEGUROS, LDA",ana.ruivo@medoeiras.pt,
442,503399442,"BEJA - CORRETORES DE SEGUROS, LDA",geral@bejaseguros.pt,www.bejaseguros.pt
443,510346723,"BRUNO BRITES TEIXEIRA - MEDIAÇÃO DE SEGUROS, LDA",bruno.teixeira@ageas.pt,
444,510946380,"FULL PROTECTION - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",cristovao.cavaco@agentegeral.ageas.pt,
445,501359010,"CARLOS REIS - MEDIAÇÃO DE SEGUROS, LDA",geral@crl-seguros.com,crl-seguros.com
446,508298580,"ZIMBRASEGUROS - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@imoseguro.pt,
447,514828528,"LECOQIMMO - MEDIAÇÃO IMOBILIÁRIA, UNIPESSOAL, LDA",,
448,508947430,"CARLOS MAGALHÃES & ASSOCIADOS, MEDIAÇÃO DE SEGUROS, LDA",carlosmagalhaes@cm-seguros.pt,
449,510319467,"MAIAGORA - MEDIAÇÃO DE SEGUROS, LDA",,www.maiagora.pt
450,504610910,"VISAR - MEDIAÇÃO DE SEGUROS, LDA",geral@visar.pt,www.visar.pt
451,515198781,"POSTURA DISTINTA - CONSULTORIA PARA OS NEGÓCIOS E A GESTÃO, LDA",geral@segofis.pt,
452,510673694,"GOWIN - MEDIAÇÃO DE SEGUROS, LDA",contacto@gowin.pt,www.gowin.pt
453,509305105,"MAXIBROKER - MEDIAÇÃO DE SEGUROS, LDA",geral@maxibroker.pt,www.maxibroker.pt
454,508833213,"PEDREIRA - MEDIAÇÃO DE SEGUROS, LDA",jpedreira_fm@hotmail.com,
455,516684272,"ISCA - MEDIAÇÃO DE SEGUROS, SOCIEDADE UNIPESSOAL, LDA",ilidioalexandre7@gmail.com,
456,514218967,"CRISTINA MAFRA LOPES - MEDIAÇÃO DE SEGUROS, LDA",geral@cml-seguros.pt,
457,510476457,"ANDRADE & VAZ - MEDIAÇÃO DE SEGUROS, LDA",geral@andradeevaz.pt,
458,508768632,"JARDIM FERNANDES - MEDIAÇÃO DE SEGUROS, LDA",,
459,515528714,"FMDS - DISTRIBUIÇÃO DE SEGUROS, LDA",franciscosilva@fmds.pt,
460,513609113,"CONSULPONTE, LDA",,
461,503326143,"PEREIRINHA - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",pereirinha.seguros@gmail.com,www.segurospereirinha.pt
462,504843060,"ALIADOS - MEDIAÇÃO DE SEGUROS, LDA",,
463,509763049,"MENONO - MEDIAÇÃO DE SEGUROS, LDA",,www.menono.pt
464,509136583,"ÂNCORA FIRME - MEDIAÇÃO DE SEGUROS, LDA",geral@ancoraseguros.pt,
465,504194100,"CARDADOR - MEDIAÇÃO DE SEGUROS, LDA",,
466,515007412,"MUDEY, S.A.",ana.teixeira@mudey.pt,www.mudey.pt
467,508378320,"LEBORSAFE - CONSULTORIA E MEDIAÇÃO DE SEGUROS, LDA",leborsafe@leborsafe.pt,www.leborsafe.pt
468,508572762,"SÉRGIO MALDONADO MEDIAÇÃO SEGUROS, LDA",sergiomaldonadoseguros@gmail.com,www.sergiomaldonado-seguros.pt
469,510144691,"PEDRO FERREIRA MARTINS, UNIPESSOAL, LDA",ruinunes@m-g.com.pt,
470,509337970,"MANUEL MARIA - MEDIAÇÃO DE SEGUROS, LDA",lagares@manuelmaria.pt,www.manuelmaria.pt
471,513830758,"MARTINHO SOARES, LDA",martinhosoares.lda@gmail.com,
472,509697909,"LUÍS ANTÓNIO ROSA DA PALMA PEREIRA, UNIPESSOAL, LDA",luis.pereira@allseg.pt,
473,502893303,"MÁRIO JOSÉ VIEIRA DA CRUZ, LDA",mariojvcruzlda@sapo.pt,
474,510864457,"CARLOS MARTINS & OSÓRIO, LDA",geral@cmseguros.net,
475,516095498,"SISTECON SECURE SOLUTIONS, UNIPESSOAL, LDA",geral@securesolutions.pt,www.securesolutions.pt
476,505945533,"SONIE & FÁTIMA - MEDIAÇÃO DE SEGUROS, LDA",lojaibareosa@gmail.com,
477,507459407,"LOURENÇO P.ABREU - MEDIAÇÃO DE SEGUROS, LDA",lourenco@esposeguros.com,www.esposeguros.com
